PLAYER,CURRENTTEAM,AGE,DATE OF BIRTH,POS,HANDED,DRAFTED,EXTENSION,SIGNING DATE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,S.BONUS,PlayerId,TYPE,TEAM,TEAMS
Oscar Klefbom,EDM,27.0,1993-07-20,LD,Left,19 - Round 1 - 2011 (EDM),True,2015-09-19,22.0,M-NTC,7.0,UFA,2023.0,4167000.0,5.7,4167000.0,4500000.0,4500000.0,0.0,8476472.0,Standard,EDM,EDM
Connor Murphy,CHI,28.0,1993-03-26,RD,Right,20 - Round 1 - 2011 (ARI),False,2016-07-28,23.0,,6.0,UFA,2022.0,3850000.0,5.3,3850000.0,4000000.0,4000000.0,0.0,8476473.0,Standard,CHI,CHI
Stefan Noesen,CAR,28.0,1993-02-12,"RW, LW",Right,21 - Round 1 - 2011 (OTT),False,2021-08-01,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476474.0,Standard,CAR,CAR
Phillip Danault,LAK,28.0,1993-02-24,C,Left,26 - Round 1 - 2011 (CHI),False,2021-07-28,28.0,NMC,6.0,UFA,2027.0,5500000.0,6.7,5500000.0,4000000.0,750000.0,3250000.0,8476479.0,Standard,LAK,LAK
Vladislav Namestnikov,TBL,28.0,1992-11-22,"RW, LW, C",Left,27 - Round 1 - 2011 (TBL),False,2020-10-11,27.0,,2.0,UFA,2022.0,2000000.0,2.5,2000000.0,2500000.0,2500000.0,0.0,8476480.0,Standard,DET,DET
Rickard Rakell,PIT,28.0,1993-05-05,"RW, LW",Right,30 - Round 1 - 2011 (ANA),False,2016-10-14,23.0,,6.0,UFA,2022.0,3789444.0,5.2,3789444.0,3800000.0,3800000.0,0.0,8476483.0,Standard,ANA,ANA
Seth Griffith,EDM,28.0,1993-01-04,"RW, C",Right,131 - Round 5 - 2012 (BOS),False,2020-10-09,27.0,,2.0,UFA,2022.0,725000.0,0.9,725000.0,750000.0,750000.0,0.0,8476495.0,Standard,EDM,EDM
Turner Elson,NYR,28.0,1992-09-13,LW,Left,-,False,2022-04-25,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476505.0,Standard,DET,DET
Maxime Lagacé,TBL,28.0,1993-01-12,G,Left,-,False,2021-07-28,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476509.0,Standard,TBL,TBL
Colin Miller,DAL,28.0,1992-10-29,RD,Right,151 - Round 5 - 2012 (LAK),False,2018-07-07,25.0,,4.0,UFA,2022.0,3875000.0,4.9,3875000.0,3875000.0,3875000.0,0.0,8476525.0,Standard,BUF,BUF
Jonathan Marchessault,VGK,30.0,1990-12-27,"LW, RW",Right,-,True,2018-01-03,27.0,M-NTC,6.0,UFA,2024.0,5000000.0,6.7,5000000.0,5000000.0,5000000.0,0.0,8476539.0,Standard,VGK,VGK
Kurtis Gabriel,-,28.0,1993-04-20,RW,Right,81 - Round 3 - 2013 (MIN),False,2021-07-28,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476545.0,Standard,CHI,"CHI,TOR"
Barclay Goodrow,NYR,28.0,1993-02-26,"LW, C, RW",Left,-,True,2021-07-22,28.0,M-NTC,6.0,UFA,2027.0,3641667.0,4.5,3641667.0,2500000.0,750000.0,1750000.0,8476624.0,Standard,NYR,NYR
Brad Hunt,COL,32.0,1988-08-24,LD,Left,-,False,2021-07-28,32.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8476779.0,Standard,VAN,VAN
Torey Krug,STL,30.0,1991-04-12,LD,Left,-,False,2020-10-09,29.0,NTC,7.0,UFA,2027.0,6500000.0,8.0,6500000.0,4000000.0,4000000.0,0.0,8476792.0,Standard,STL,STL
Matt Tennyson,-,31.0,1990-04-23,RD,Right,-,False,2021-07-28,31.0,,2.0,UFA,2023.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476807.0,Standard,NSJ,NSJ
Brian Flynn,-,32.0,1988-07-26,RW,Right,-,False,2021-07-28,32.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476808.0,Standard,NJD,NJD
Luke Glendening,DAL,32.0,1989-04-28,"C, RW, LW",Right,-,False,2021-07-28,32.0,,2.0,UFA,2023.0,1500000.0,1.8,1500000.0,1500000.0,1500000.0,0.0,8476822.0,Standard,DAL,DAL
Yanni Gourde,SEA,29.0,1991-12-15,"C, LW, RW",Left,-,True,2018-11-02,27.0,NTC,6.0,UFA,2025.0,5166666.0,6.5,5166666.0,6300000.0,6300000.0,0.0,8476826.0,Standard,SEA,SEA
Ryan Murray,EDM,27.0,1993-09-27,LD,Left,2 - Round 1 - 2012 (CBJ),False,2021-08-02,27.0,,1.0,UFA,2022.0,2000000.0,2.5,2000000.0,2000000.0,2000000.0,0.0,8476850.0,Standard,COL,COL
Alex Galchenyuk,-,27.0,1994-02-12,"LW, C, RW",Left,3 - Round 1 - 2012 (MTL),False,2021-10-06,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476851.0,Standard,ARI,ARI
Morgan Rielly,TOR,27.0,1994-03-09,LD,Left,5 - Round 1 - 2012 (TOR),True,2016-04-13,22.0,NMC,6.0,UFA,2022.0,5000000.0,7.0,5000000.0,5000000.0,3000000.0,2000000.0,8476853.0,Standard,TOR,TOR
Hampus Lindholm,BOS,27.0,1994-01-20,LD,Left,6 - Round 1 - 2012 (ANA),False,2016-10-27,22.0,,6.0,UFA,2022.0,5205556.0,7.1,5205556.0,6750000.0,6750000.0,0.0,8476854.0,Standard,ANA,ANA
Matt Dumba,MIN,26.0,1994-07-25,RD,Right,7 - Round 1 - 2012 (MIN),False,2018-07-21,23.0,M-NTC,5.0,UFA,2023.0,6000000.0,7.5,6000000.0,7400000.0,7400000.0,0.0,8476856.0,Standard,MIN,MIN
Pontus Åberg,-,27.0,1993-09-23,"RW, LW",Right,37 - Round 2 - 2012 (NSH),False,2021-07-29,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476857.0,Standard,OTT,OTT
Phillip Di Giuseppe,VAN,27.0,1993-10-09,LW,Left,38 - Round 2 - 2012 (CAR),False,2021-07-28,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476858.0,Standard,VAN,VAN
Brendan Gaunce,CBJ,27.0,1994-03-25,"LW, C",Left,26 - Round 1 - 2012 (VAN),False,2021-07-31,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476867.0,Standard,CBJ,CBJ
Brady Skjei,CAR,27.0,1994-03-26,LD,Left,28 - Round 1 - 2012 (NYR),False,2018-07-28,24.0,M-NTC,6.0,UFA,2024.0,5250000.0,6.6,5250000.0,5400000.0,4400000.0,1000000.0,8476869.0,Standard,CAR,CAR
Stefan Matteau,-,27.0,1994-02-23,LW,Left,29 - Round 1 - 2012 (NJD),False,2021-07-29,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476870.0,Standard,COL,COL
Tanner Pearson,VAN,28.0,1992-08-10,LW,Left,30 - Round 1 - 2012 (LAK),True,2021-04-08,28.0,NTC,3.0,UFA,2024.0,3250000.0,4.0,3250000.0,2500000.0,2500000.0,0.0,8476871.0,Standard,VAN,VAN
Scott Laughton,PHI,27.0,1994-05-30,"C, LW",Left,20 - Round 1 - 2012 (PHI),True,2021-04-12,27.0,,5.0,UFA,2026.0,3000000.0,3.7,3000000.0,2250000.0,1750000.0,500000.0,8476872.0,Standard,PHI,PHI
Mark Jankowski,NSH,26.0,1994-09-13,"LW, C",Left,21 - Round 1 - 2012 (CGY),False,2021-11-28,26.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476873.0,Standard,BUF,BUF
Olli Määttä,DET,26.0,1994-08-22,LD,Left,22 - Round 1 - 2012 (PIT),True,2016-02-26,21.0,,6.0,UFA,2022.0,4083333.0,5.7,4083333.0,4083500.0,4083500.0,0.0,8476874.0,Standard,LAK,LAK
Michael Matheson,MTL,27.0,1994-02-27,LD,Left,23 - Round 1 - 2012 (FLA),True,2017-10-07,24.0,M-NTC,8.0,UFA,2026.0,4875000.0,6.5,4875000.0,5000000.0,5000000.0,0.0,8476875.0,Standard,PIT,PIT
Malcolm Subban,BUF,27.0,1993-12-21,G,Left,24 - Round 1 - 2012 (BOS),False,2020-10-09,26.0,,2.0,UFA,2022.0,850000.0,1.0,850000.0,950000.0,950000.0,0.0,8476876.0,Standard,BUF,"CHI,BUF"
Zemgus Girgensons,BUF,27.0,1994-01-05,"C, LW",Left,14 - Round 1 - 2012 (BUF),True,2020-10-08,26.0,,3.0,UFA,2023.0,2200000.0,2.7,2200000.0,2200000.0,2200000.0,0.0,8476878.0,Standard,BUF,BUF
Cody Ceci,EDM,27.0,1993-12-21,RD,Right,15 - Round 1 - 2012 (OTT),False,2021-07-28,27.0,,4.0,UFA,2025.0,3250000.0,4.0,3250000.0,2000000.0,2000000.0,0.0,8476879.0,Standard,EDM,EDM
Tom Wilson,WSH,27.0,1994-03-29,RW,Right,16 - Round 1 - 2012 (WSH),False,2018-07-27,24.0,M-NTC,6.0,UFA,2024.0,5166667.0,6.5,5166667.0,6100000.0,3100000.0,3000000.0,8476880.0,Standard,WSH,WSH
Tomas Hertl,SJS,27.0,1993-11-12,"C, RW",Left,17 - Round 1 - 2012 (SJS),False,2018-07-02,24.0,M-NTC,4.0,UFA,2022.0,5625000.0,7.1,5625000.0,5500000.0,3500000.0,2000000.0,8476881.0,Standard,SJS,SJS
Teuvo Teräväinen,CAR,26.0,1994-09-11,"RW, LW",Left,18 - Round 1 - 2012 (CHI),True,2019-01-21,24.0,,5.0,UFA,2024.0,5400000.0,6.8,5400000.0,5875000.0,5875000.0,0.0,8476882.0,Standard,CAR,CAR
Andrei Vasilevskiy,TBL,26.0,1994-07-25,G,Left,19 - Round 1 - 2012 (TBL),True,2019-07-29,25.0,NMC,8.0,UFA,2028.0,9500000.0,11.7,9500000.0,11000000.0,1000000.0,10000000.0,8476883.0,Standard,TBL,TBL
Derrick Pouliot,-,27.0,1994-01-16,LD,Left,8 - Round 1 - 2012 (PIT),False,2022-03-17,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476884.0,Standard,SEA,"SEA,VGK"
Jacob Trouba,NYR,27.0,1994-02-26,RD,Right,9 - Round 1 - 2012 (WPG),False,2019-07-19,25.0,NMC,7.0,UFA,2026.0,8000000.0,9.8,8000000.0,8000000.0,2000000.0,6000000.0,8476885.0,Standard,NYR,NYR
Slater Koekkoek,EDM,27.0,1994-02-18,LD/RD,Left,10 - Round 1 - 2012 (TBL),False,2021-08-12,27.0,,2.0,UFA,2023.0,925000.0,1.1,925000.0,750000.0,750000.0,0.0,8476886.0,Standard,EDM,EDM
Filip Forsberg,NSH,26.0,1994-08-13,LW,Right,11 - Round 1 - 2012 (WSH),True,2016-06-27,21.0,,6.0,UFA,2022.0,6000000.0,8.2,6000000.0,6000000.0,6000000.0,0.0,8476887.0,Standard,NSJ,NSJ
Radek Faksa,DAL,27.0,1994-01-09,C,Left,13 - Round 1 - 2012 (DAL),False,2020-10-11,26.0,M-NTC,5.0,UFA,2025.0,3250000.0,4.0,3250000.0,3000000.0,3000000.0,0.0,8476889.0,Standard,DAL,DAL
Matt Grzelcyk,BOS,27.0,1994-01-05,LD,Left,85 - Round 3 - 2012 (BOS),False,2020-10-17,26.0,,4.0,UFA,2024.0,3687500.0,4.5,3687500.0,4000000.0,4000000.0,0.0,8476891.0,Standard,BOS,BOS
Colton Parayko,STL,28.0,1993-05-12,RD,Right,86 - Round 3 - 2012 (STL),False,2017-07-20,24.0,,5.0,UFA,2022.0,5500000.0,7.3,5500000.0,5625000.0,5625000.0,0.0,8476892.0,Standard,STL,STL
Oskar Sundqvist,DET,27.0,1994-03-23,"C, RW",Right,81 - Round 3 - 2012 (PIT),False,2019-07-21,25.0,,4.0,UFA,2023.0,2750000.0,3.4,2750000.0,3500000.0,3500000.0,0.0,8476897.0,Standard,STL,"STL,DET"
Matt Murray,TOR,27.0,1994-05-25,G,Left,83 - Round 3 - 2012 (PIT),False,2020-10-09,26.0,M-NTC,4.0,UFA,2024.0,6250000.0,7.7,6250000.0,6000000.0,6000000.0,0.0,8476899.0,Standard,OTT,OTT
Esa Lindell,DAL,27.0,1994-05-23,LD,Left,74 - Round 3 - 2012 (DAL),True,2019-05-16,25.0,NMC,6.0,UFA,2025.0,5800000.0,7.3,5800000.0,7000000.0,5000000.0,2000000.0,8476902.0,Standard,DAL,DAL
Jon Gillies,ARI,27.0,1994-01-22,G,Left,75 - Round 3 - 2012 (CGY),False,2021-12-08,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476903.0,Standard,NJD,"STL,NJD"
Chris Driedger,SEA,27.0,1994-05-18,G,Left,76 - Round 3 - 2012 (OTT),True,2021-07-21,27.0,M-NTC,3.0,UFA,2024.0,3500000.0,4.3,3500000.0,2500000.0,2500000.0,0.0,8476904.0,Standard,SEA,SEA
Chandler Stephenson,VGK,27.0,1994-04-22,"C, LW",Left,77 - Round 3 - 2012 (WSH),True,2020-10-07,26.0,,4.0,UFA,2024.0,2750000.0,3.4,2750000.0,3025000.0,3025000.0,0.0,8476905.0,Standard,VGK,VGK
Shayne Gostisbehere,ARI,28.0,1993-04-20,LD,Left,78 - Round 3 - 2012 (PHI),True,2017-06-09,24.0,,6.0,UFA,2023.0,4500000.0,6.2,4500000.0,3250000.0,1000000.0,2250000.0,8476906.0,Standard,ARI,ARI
Mackenzie MacEachern,CAR,27.0,1994-03-09,"LW, RW",Left,67 - Round 3 - 2012 (STL),True,2020-04-17,26.0,,2.0,UFA,2022.0,900000.0,1.1,900000.0,900000.0,900000.0,0.0,8476907.0,Standard,STL,STL
Devin Shore,EDM,26.0,1994-07-19,"LW, C, RW",Left,61 - Round 2 - 2012 (DAL),True,2021-06-09,26.0,,2.0,UFA,2023.0,850000.0,1.0,850000.0,750000.0,750000.0,0.0,8476913.0,Standard,EDM,EDM
Joonas Korpisalo,CBJ,27.0,1994-04-28,G,Left,62 - Round 3 - 2012 (CBJ),True,2020-04-17,26.0,,2.0,UFA,2022.0,2800000.0,3.4,2800000.0,3400000.0,3400000.0,0.0,8476914.0,Standard,CBJ,CBJ
Jujhar Khaira,CHI,26.0,1994-08-13,"C, LW",Left,63 - Round 3 - 2012 (EDM),False,2021-07-28,26.0,,2.0,UFA,2023.0,975000.0,1.2,975000.0,950000.0,950000.0,0.0,8476915.0,Standard,CHI,CHI
Adam Pelech,NYI,26.0,1994-08-16,LD,Left,65 - Round 3 - 2012 (NYI),False,2021-08-06,26.0,,8.0,UFA,2029.0,5750000.0,7.1,5750000.0,5750000.0,5750000.0,0.0,8476917.0,Standard,NYI,NYI
Jimmy Vesey,NYR,28.0,1993-05-26,"LW, RW",Left,66 - Round 3 - 2012 (NSH),False,2021-10-10,28.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8476918.0,Standard,NJD,NJD
Chris Tierney,FLA,27.0,1994-07-01,C,Left,55 - Round 2 - 2012 (SJS),False,2020-10-26,25.0,,2.0,UFA,2022.0,3500000.0,4.3,3500000.0,4200000.0,4200000.0,0.0,8476919.0,Standard,OTT,OTT
Jordan Martinook,CAR,28.0,1992-07-25,"LW, RW",Left,58 - Round 2 - 2012 (ARI),False,2021-07-28,28.0,,3.0,UFA,2024.0,1800000.0,2.2,1800000.0,900000.0,900000.0,0.0,8476921.0,Standard,CAR,CAR
Damon Severson,NJD,26.0,1994-08-07,RD,Right,60 - Round 2 - 2012 (NJD),False,2017-09-11,22.0,,6.0,UFA,2023.0,4166666.0,5.6,4166666.0,5050000.0,5050000.0,0.0,8476923.0,Standard,NJD,NJD
Martin Frk,STL,27.0,1993-10-05,RW,Right,49 - Round 2 - 2012 (DET),True,2020-02-22,26.0,,2.0,UFA,2022.0,725000.0,0.9,725000.0,750000.0,750000.0,0.0,8476924.0,Standard,LAK,LAK
Colton Sissons,NSH,27.0,1993-11-05,"RW, C",Right,50 - Round 2 - 2012 (NSH),False,2019-07-23,25.0,,7.0,UFA,2026.0,2857143.0,3.5,2857143.0,3650000.0,3650000.0,0.0,8476925.0,Standard,NSJ,NSJ
Teddy Blueger,PIT,26.0,1994-08-15,"C, LW",Left,52 - Round 2 - 2012 (PIT),True,2021-07-14,26.0,,2.0,UFA,2023.0,2200000.0,2.7,2200000.0,2000000.0,2000000.0,0.0,8476927.0,Standard,PIT,PIT
Jake McCabe,CHI,27.0,1993-10-12,LD/RD,Left,44 - Round 2 - 2012 (BUF),False,2021-07-28,27.0,M-NTC,4.0,UFA,2025.0,4000000.0,4.9,4000000.0,3000000.0,3000000.0,0.0,8476931.0,Standard,CHI,CHI
Anthony Stolarz,ANA,27.0,1994-01-20,G,Left,45 - Round 2 - 2012 (PHI),True,2021-01-06,27.0,,2.0,UFA,2023.0,950000.0,1.2,950000.0,950000.0,950000.0,0.0,8476932.0,Standard,ANA,ANA
Brock McGinn,PIT,27.0,1994-02-02,"LW, RW",Left,47 - Round 2 - 2012 (CAR),False,2021-07-28,27.0,,4.0,UFA,2025.0,2750000.0,3.4,2750000.0,2750000.0,2750000.0,0.0,8476934.0,Standard,PIT,PIT
Connor Carrick,BOS,27.0,1994-04-13,RD,Right,137 - Round 5 - 2012 (WSH),False,2021-08-04,27.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8476941.0,Standard,SEA,SEA
Connor Hellebuyck,WPG,28.0,1993-05-19,G,Left,130 - Round 5 - 2012 (WPG),False,2018-07-12,25.0,,6.0,UFA,2024.0,6166666.0,7.8,6166666.0,7500000.0,7500000.0,0.0,8476945.0,Standard,WPG,WPG
Charles Hudon,COL,27.0,1994-06-23,"C, LW, RW",Left,122 - Round 5 - 2012 (MTL),False,2021-07-28,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476948.0,Standard,TBL,TBL
Dominic Toninato,WPG,27.0,1994-03-09,"C, LW",Left,126 - Round 5 - 2012 (TOR),True,2021-07-06,27.0,,2.0,UFA,2023.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476952.0,Standard,WPG,WPG
Trevor Carrick,TBL,26.0,1994-07-04,LD,Left,115 - Round 4 - 2012 (CAR),True,2021-07-13,26.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476953.0,Standard,ANA,ANA
Jaccob Slavin,CAR,27.0,1994-05-01,LD,Left,120 - Round 4 - 2012 (CAR),True,2017-07-12,24.0,M-NTC,7.0,UFA,2025.0,5300000.0,7.1,5300000.0,6000000.0,6000000.0,0.0,8476958.0,Standard,CAR,CAR
Andreas Athanasiou,CHI,26.0,1994-08-06,"LW, RW",Left,110 - Round 4 - 2012 (DET),False,2021-07-28,26.0,,1.0,UFA,2022.0,2700000.0,3.3,2700000.0,2700000.0,2700000.0,0.0,8476960.0,Standard,LAK,LAK
Gemel Smith,TBL,27.0,1994-04-16,C,Left,104 - Round 4 - 2012 (DAL),True,2021-07-22,27.0,,2.0,UFA,2023.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476966.0,Standard,DET,"DET,TBL"
Brett Kulak,EDM,27.0,1994-01-06,LD/RD,Left,105 - Round 4 - 2012 (CGY),True,2019-05-25,25.0,,3.0,UFA,2022.0,1850000.0,2.3,1850000.0,2200000.0,2200000.0,0.0,8476967.0,Standard,MTL,MTL
Cédric Paquette,-,27.0,1993-08-13,"C, LW, RW",Left,101 - Round 4 - 2012 (TBL),False,2021-07-28,27.0,,1.0,UFA,2022.0,950000.0,1.2,950000.0,950000.0,950000.0,0.0,8476975.0,Standard,MTL,MTL
Erik Gustafsson,WSH,29.0,1992-03-14,LD/RD,Left,93 - Round 4 - 2012 (EDM),False,2021-10-12,29.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8476979.0,Standard,CHI,CHI
Josh Anderson,MTL,27.0,1994-05-07,"RW, LW",Right,95 - Round 4 - 2012 (CBJ),True,2020-10-08,26.0,M-NTC,7.0,UFA,2027.0,5500000.0,6.7,5500000.0,4000000.0,4000000.0,0.0,8476981.0,Standard,MTL,MTL
Danny O'Regan,ANA,27.0,1994-01-30,"C, LW",Right,138 - Round 5 - 2012 (SJS),False,2021-07-29,27.0,,2.0,UFA,2023.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476982.0,Standard,ANA,ANA
Paul LaDue,NYI,28.0,1992-09-06,RD,Right,181 - Round 6 - 2012 (LAK),False,2021-09-16,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476983.0,Standard,NYI,NYI
Jake Bischoff,-,26.0,1994-07-25,LD,Left,185 - Round 7 - 2012 (NYI),False,2019-07-16,24.0,,3.0,UFA,2022.0,716667.0,0.9,716667.0,750000.0,750000.0,0.0,8476987.0,Standard,VGK,VGK
Matthew Benning,SJS,27.0,1994-05-25,RD,Right,175 - Round 6 - 2012 (BOS),False,2020-10-09,26.0,,2.0,UFA,2022.0,1000000.0,1.2,1000000.0,1000000.0,1000000.0,0.0,8476988.0,Standard,NSJ,NSJ
Petteri Lindbohm,-,27.0,1993-09-23,LD,Left,176 - Round 6 - 2012 (STL),False,2022-02-28,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8476989.0,Standard,FLA,FLA
Vinnie Hinostroza,BUF,27.0,1994-04-03,"RW, LW",Right,169 - Round 6 - 2012 (CHI),False,2021-07-28,27.0,,1.0,UFA,2022.0,1050000.0,1.3,1050000.0,1050000.0,1050000.0,0.0,8476994.0,Standard,BUF,BUF
Linus Ullmark,BOS,27.0,1993-07-31,G,Left,163 - Round 6 - 2012 (BUF),False,2021-07-28,27.0,NMC,4.0,UFA,2025.0,5000000.0,6.1,5000000.0,3500000.0,3500000.0,0.0,8476999.0,Standard,BOS,BOS
Riley Barber,DAL,27.0,1994-02-07,RW,Right,167 - Round 6 - 2012 (WSH),False,2020-10-09,26.0,,2.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8477003.0,Standard,DET,DET
Connor Brown,WSH,27.0,1994-01-14,"RW, LW",Right,156 - Round 6 - 2012 (TOR),False,2020-10-22,26.0,,3.0,UFA,2023.0,3600000.0,4.4,3600000.0,4000000.0,4000000.0,0.0,8477015.0,Standard,OTT,OTT
Ben Hutton,VGK,28.0,1993-04-20,LD,Left,147 - Round 5 - 2012 (VAN),False,2021-10-28,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477018.0,Standard,VGK,VGK
Alexander Kerfoot,TOR,26.0,1994-08-11,"LW, C",Left,150 - Round 5 - 2012 (NJD),False,2019-07-04,24.0,,4.0,UFA,2023.0,3500000.0,4.3,3500000.0,2700000.0,750000.0,1950000.0,8477021.0,Standard,TOR,TOR
Jaycob Megna,SJS,28.0,1992-12-10,LD,Left,210 - Round 7 - 2012 (ANA),False,2021-07-28,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477034.0,Standard,SJS,SJS
Liam O'Brien,ARI,26.0,1994-07-29,"LW, C",Left,-,False,2021-07-28,26.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477070.0,Standard,ARI,ARI
Kurtis MacDermid,COL,27.0,1994-03-25,"LD/RD, LW",Left,-,True,2020-04-10,26.0,,2.0,UFA,2022.0,875000.0,1.1,875000.0,900000.0,900000.0,0.0,8477073.0,Standard,COL,COL
Ashton Sautner,WPG,27.0,1994-05-27,LD,Left,-,False,2021-12-18,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477085.0,Standard,VAN,VAN
Jayson Megna,COL,31.0,1990-02-01,"RW, C",Right,-,True,2021-06-16,31.0,,2.0,UFA,2023.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477126.0,Standard,COL,COL
Scott Sabourin,OTT,28.0,1992-07-30,RW,Right,-,False,2021-08-17,28.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477149.0,Standard,OTT,OTT
Aaron Dell,SJS,32.0,1989-05-04,G,Left,-,False,2021-07-28,32.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477180.0,Standard,BUF,BUF
Andrew Hammond,-,33.0,1988-02-11,G,Left,-,True,2021-07-26,33.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477202.0,Standard,NJD,"MIN,NJD,MTL"
Andrej Sustr,MIN,30.0,1990-11-29,RD,Right,-,False,2021-07-28,30.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477205.0,Standard,ANA,"ANA,TBL"
Buddy Robinson,CHI,29.0,1991-09-30,RW,Right,-,False,2021-07-29,29.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477210.0,Standard,ANA,ANA
Danny DeKeyser,-,31.0,1990-03-07,LD,Left,-,False,2016-07-26,26.0,M-NTC,6.0,UFA,2022.0,5000000.0,6.8,5000000.0,5000000.0,4500000.0,500000.0,8477215.0,Standard,DET,DET
Nate Schmidt,WPG,29.0,1991-07-16,LD/RD,Left,-,True,2018-10-25,27.0,M-NTC,6.0,UFA,2025.0,5950000.0,7.5,5950000.0,6000000.0,6000000.0,0.0,8477220.0,Standard,WPG,WPG
Troy Grosenick,PHI,31.0,1989-08-27,G,Left,-,False,2021-07-28,31.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477234.0,Standard,BOS,BOS
Carter Rowney,-,32.0,1989-05-10,"C, RW",Right,-,False,2021-09-02,32.0,,1.0,UFA,2022.0,825000.0,1.0,825000.0,825000.0,825000.0,0.0,8477240.0,Standard,DET,DET
Chad Ruhwedel,PIT,31.0,1990-05-07,RD,Right,-,True,2020-08-28,31.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477244.0,Standard,PIT,PIT
Michael Raffl,-,32.0,1988-12-01,"LW, RW",Left,-,False,2021-07-29,32.0,,1.0,UFA,2022.0,1100000.0,1.3,1100000.0,1100000.0,1100000.0,0.0,8477290.0,Standard,DAL,DAL
Antti Raanta,CAR,32.0,1989-05-12,G,Left,-,False,2021-07-28,32.0,,2.0,UFA,2023.0,2000000.0,2.5,2000000.0,1750000.0,1750000.0,0.0,8477293.0,Standard,CAR,CAR
Antoine Bibeau,OTT,27.0,1994-05-01,G,Left,172 - Round 6 - 2013 (TOR),False,2021-08-20,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477312.0,Standard,SEA,SEA
Brian Pinho,NJD,26.0,1995-05-01,"C, RW",Right,174 - Round 6 - 2013 (WSH),True,2020-09-17,25.0,,2.0,UFA,2022.0,725000.0,0.9,725000.0,750000.0,750000.0,0.0,8477314.0,Standard,WSH,WSH
Zachary Leslie,-,27.0,1994-01-31,LD,Left,178 - Round 6 - 2013 (LAK),False,2021-11-14,27.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8477318.0,Standard,OTT,OTT
